               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.043463,            0.062777,            0.049934,              0.5037,             0.53396,              0.4852,             0.27142,              0.0371,             0.03299,            0.036844,            0.067053,           0.0003328,           0.0003328
                   1,            0.037175,            0.059713,            0.024929,             0.63087,             0.63292,             0.67893,              0.4274,            0.031773,            0.030508,            0.020377,            0.034037,          0.00064949,          0.00064949
                   2,            0.034401,             0.05776,            0.019701,             0.71167,             0.72308,             0.76385,             0.51204,            0.029341,            0.029307,            0.013352,           0.0010033,          0.00094954,          0.00094954
                   3,            0.032713,            0.056623,            0.017369,             0.72271,             0.71391,               0.764,              0.5183,              0.0286,            0.029654,            0.013966,          0.00092508,          0.00092508,          0.00092508
                   4,            0.031469,            0.055785,            0.015635,             0.76142,             0.73761,             0.79964,             0.54347,            0.028222,            0.028864,            0.011386,          0.00092508,          0.00092508,          0.00092508
                   5,            0.030237,            0.053427,            0.013829,             0.77592,             0.75248,              0.8273,             0.58459,            0.026699,            0.026883,           0.0077888,           0.0009001,           0.0009001,           0.0009001
                   6,            0.028776,            0.052393,            0.012452,              0.7929,             0.78955,             0.84411,             0.59586,            0.026204,            0.026389,           0.0077441,          0.00087513,          0.00087513,          0.00087513
                   7,            0.028639,            0.051856,            0.012105,             0.78385,             0.79039,             0.85774,             0.61138,            0.025252,            0.025564,           0.0061339,          0.00085015,          0.00085015,          0.00085015
                   8,            0.027963,            0.050984,            0.011072,             0.80146,              0.8179,             0.87456,              0.6301,            0.024893,            0.026091,           0.0051993,          0.00082518,          0.00082518,          0.00082518
                   9,            0.027134,            0.049619,            0.010329,             0.82697,             0.82938,             0.88421,             0.64593,             0.02438,            0.024501,           0.0049522,           0.0008002,           0.0008002,           0.0008002
                  10,            0.026547,            0.048634,            0.010069,             0.82638,             0.81956,             0.87905,             0.64589,             0.02414,            0.024825,           0.0060381,          0.00077523,          0.00077523,          0.00077523
                  11,            0.026241,            0.047723,           0.0095976,             0.82951,             0.83453,             0.88903,             0.65981,             0.02356,            0.024326,           0.0064148,          0.00075025,          0.00075025,          0.00075025
                  12,            0.025554,            0.046707,           0.0088926,             0.87108,             0.84196,             0.90984,             0.68253,            0.022879,            0.023151,           0.0032775,          0.00072528,          0.00072528,          0.00072528
                  13,            0.024813,            0.045551,           0.0080862,             0.83512,             0.83953,             0.89516,             0.67045,            0.022779,            0.023599,           0.0038346,           0.0007003,           0.0007003,           0.0007003
                  14,            0.024393,             0.04461,           0.0076597,             0.85997,             0.84551,             0.90408,             0.68652,            0.022605,            0.022704,           0.0045226,          0.00067533,          0.00067533,          0.00067533
                  15,            0.023932,            0.043712,           0.0074102,             0.87055,              0.8792,             0.92595,             0.71427,            0.021473,            0.022118,           0.0026283,          0.00065035,          0.00065035,          0.00065035
                  16,            0.023416,            0.043677,           0.0072109,              0.8783,             0.87318,             0.92571,             0.71051,            0.021665,            0.022097,           0.0030171,          0.00062538,          0.00062538,          0.00062538
                  17,            0.023329,            0.042823,           0.0067807,             0.87754,             0.87017,             0.92761,             0.71265,            0.021114,            0.021715,           0.0029051,           0.0006004,           0.0006004,           0.0006004
                  18,            0.022972,            0.042348,           0.0066636,               0.882,             0.87592,             0.92846,             0.72714,            0.020684,            0.021259,           0.0028509,          0.00057542,          0.00057542,          0.00057542
                  19,            0.022518,            0.041461,           0.0062363,             0.88386,             0.88796,             0.93029,             0.73029,             0.02075,            0.021256,           0.0025097,          0.00055045,          0.00055045,          0.00055045
                  20,            0.022593,            0.041502,           0.0066994,             0.89322,             0.87328,             0.93332,              0.7394,            0.020026,            0.020947,           0.0027983,          0.00052548,          0.00052548,          0.00052548
                  21,            0.022229,            0.040821,           0.0066123,             0.89425,             0.89378,             0.94019,             0.74919,            0.020138,             0.02036,           0.0020786,           0.0005005,           0.0005005,           0.0005005
                  22,            0.021682,            0.039722,           0.0059189,             0.90088,             0.89573,             0.94313,             0.75439,            0.019723,            0.020241,           0.0017829,          0.00047552,          0.00047552,          0.00047552
                  23,            0.021355,            0.039231,           0.0058811,             0.90891,             0.90116,             0.94608,             0.76564,            0.019312,            0.019862,           0.0018744,          0.00045055,          0.00045055,          0.00045055
                  24,            0.020835,            0.038862,           0.0053108,             0.91423,             0.89653,             0.94654,             0.76858,            0.018834,            0.019454,           0.0019128,          0.00042558,          0.00042558,          0.00042558
                  25,            0.020507,            0.037841,           0.0051598,             0.91099,             0.90535,             0.94968,             0.77347,            0.018873,            0.019459,           0.0019162,           0.0004006,           0.0004006,           0.0004006
                  26,            0.020505,            0.037347,           0.0051213,              0.9297,             0.90902,             0.95489,             0.78464,            0.018481,            0.019054,           0.0014684,          0.00037562,          0.00037562,          0.00037562
                  27,            0.020093,            0.036643,           0.0049575,             0.91768,             0.91428,             0.95438,             0.78726,            0.018079,            0.018765,           0.0018461,          0.00035065,          0.00035065,          0.00035065
                  28,            0.019672,            0.036167,           0.0047169,             0.92095,             0.91431,             0.95694,             0.78959,            0.018136,            0.018615,           0.0015995,          0.00032567,          0.00032567,          0.00032567
                  29,            0.019446,            0.035756,           0.0047146,               0.928,             0.91566,             0.95785,             0.79655,            0.017904,            0.018289,            0.001609,           0.0003007,           0.0003007,           0.0003007
                  30,            0.018929,            0.034796,           0.0043338,              0.9339,             0.91267,             0.96027,             0.80398,            0.017523,            0.018005,           0.0017218,          0.00027572,          0.00027572,          0.00027572
                  31,            0.018701,            0.034386,           0.0042869,             0.92259,             0.92154,             0.95981,             0.80479,            0.017404,            0.018106,           0.0014277,          0.00025075,          0.00025075,          0.00025075
                  32,            0.018405,            0.033914,           0.0040979,             0.93935,             0.91535,             0.96209,             0.81231,            0.017072,            0.017624,           0.0013739,          0.00022577,          0.00022577,          0.00022577
                  33,            0.018015,            0.032727,           0.0039174,             0.94055,             0.91587,             0.96157,             0.81394,            0.016911,            0.017513,           0.0013881,           0.0002008,           0.0002008,           0.0002008
                  34,             0.01759,            0.032088,            0.003579,             0.93244,             0.92819,             0.96377,             0.82237,            0.016602,            0.017296,           0.0013251,          0.00017583,          0.00017583,          0.00017583
                  35,            0.017186,            0.031678,           0.0033971,             0.93351,             0.92649,             0.96288,             0.82649,            0.016354,            0.017173,           0.0013649,          0.00015085,          0.00015085,          0.00015085
                  36,            0.016867,             0.03126,           0.0033394,             0.93913,             0.92425,             0.96552,             0.83154,            0.016111,            0.016967,           0.0012544,          0.00012587,          0.00012587,          0.00012587
                  37,            0.016499,            0.030446,           0.0032125,             0.94411,             0.92281,             0.96572,             0.83355,            0.015947,            0.016917,           0.0011718,           0.0001009,           0.0001009,           0.0001009
                  38,            0.016194,             0.02974,           0.0030083,               0.946,             0.92101,             0.96571,             0.83604,            0.015846,            0.016821,           0.0011794,          7.5925e-05,          7.5925e-05,          7.5925e-05
                  39,            0.015688,            0.028779,            0.002774,             0.93919,             0.92792,             0.96652,             0.84005,            0.015641,            0.016723,           0.0011878,           5.095e-05,           5.095e-05,           5.095e-05
