               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.043463,            0.062777,            0.049934,             0.50372,             0.53397,             0.48519,              0.2714,            0.036865,            0.032859,             0.03719,            0.067053,           0.0003328,           0.0003328
                   1,            0.037097,            0.059706,            0.025101,             0.61987,             0.59085,              0.6336,             0.38311,            0.032756,            0.031884,            0.021595,            0.034027,          0.00063951,          0.00063951
                   2,            0.034333,            0.057806,            0.019734,             0.70767,             0.68138,             0.72576,             0.48066,            0.029678,            0.030046,            0.015921,          0.00097335,          0.00091959,          0.00091959
                   3,            0.032223,              0.0561,            0.016764,             0.75486,             0.73224,             0.79441,             0.54741,            0.027777,            0.028204,            0.011694,          0.00088012,          0.00088012,          0.00088012
                   4,            0.031183,            0.055422,            0.015375,             0.75553,             0.70594,             0.76885,             0.52079,            0.027783,            0.028787,            0.015357,          0.00088012,          0.00088012,          0.00088012
                   5,              0.0299,            0.053121,            0.013619,             0.79495,             0.76984,             0.83512,             0.58711,            0.026148,            0.026944,           0.0063632,          0.00084016,          0.00084016,          0.00084016
                   6,            0.028398,            0.051999,            0.012232,             0.78964,             0.79963,             0.85572,             0.60775,            0.025392,            0.026331,           0.0064395,           0.0008002,           0.0008002,           0.0008002
                   7,            0.028093,            0.050772,            0.011141,             0.79005,             0.79177,             0.84694,             0.60013,            0.025429,            0.025351,           0.0059852,          0.00076024,          0.00076024,          0.00076024
                   8,            0.027368,            0.049811,            0.010344,             0.81478,             0.81237,             0.87409,             0.63673,            0.024375,            0.024831,           0.0052572,          0.00072028,          0.00072028,          0.00072028
                   9,            0.026566,            0.048628,           0.0099658,             0.83033,             0.84062,             0.88993,               0.656,            0.023713,            0.024522,           0.0043328,          0.00068032,          0.00068032,          0.00068032
                  10,            0.025888,            0.047199,           0.0090861,             0.86746,             0.85196,             0.91243,             0.68729,            0.022295,            0.022901,            0.003316,          0.00064036,          0.00064036,          0.00064036
                  11,            0.025293,            0.046055,           0.0087144,             0.86893,             0.85054,             0.90979,             0.68885,            0.022225,            0.022783,           0.0037498,           0.0006004,           0.0006004,           0.0006004
                  12,            0.024384,            0.044358,           0.0075463,              0.8674,             0.87407,             0.92398,             0.71141,            0.021517,            0.021884,           0.0032237,          0.00056044,          0.00056044,          0.00056044
                  13,            0.023805,            0.043878,            0.007555,             0.85871,             0.86382,             0.91316,             0.70081,             0.02188,            0.022974,           0.0041701,          0.00052048,          0.00052048,          0.00052048
                  14,            0.023645,            0.043198,            0.007225,             0.87778,             0.86554,             0.92305,             0.71695,             0.02128,              0.0218,           0.0032556,          0.00048052,          0.00048052,          0.00048052
                  15,            0.022763,            0.041985,           0.0064721,             0.88918,             0.87464,             0.92935,             0.72998,            0.020666,            0.021441,           0.0027946,          0.00044056,          0.00044056,          0.00044056
                  16,            0.022138,            0.041024,           0.0062405,             0.88607,              0.8821,             0.92987,             0.73171,            0.020511,            0.021178,           0.0025116,           0.0004006,           0.0004006,           0.0004006
                  17,            0.021582,             0.03982,           0.0056767,             0.90078,             0.89163,             0.93984,             0.74799,            0.020076,            0.020469,           0.0021156,          0.00036064,          0.00036064,          0.00036064
                  18,            0.020876,            0.038318,           0.0051294,             0.90338,             0.89629,             0.94294,             0.75799,            0.019382,            0.020213,           0.0020515,          0.00032068,          0.00032068,          0.00032068
                  19,            0.020185,            0.037518,           0.0048105,             0.91185,             0.90993,              0.9524,             0.77536,            0.018842,            0.019209,           0.0016143,          0.00028072,          0.00028072,          0.00028072
                  20,             0.01969,            0.036318,           0.0043497,             0.90911,             0.90819,             0.95285,             0.77656,            0.018715,            0.019333,           0.0015629,          0.00024076,          0.00024076,          0.00024076
                  21,            0.019236,            0.035543,           0.0042184,             0.91366,              0.9174,             0.95623,             0.78804,            0.018219,            0.018991,           0.0015955,           0.0002008,           0.0002008,           0.0002008
                  22,            0.018615,            0.034301,           0.0038014,             0.92512,              0.9122,             0.95596,             0.79396,            0.017906,             0.01851,           0.0013936,          0.00016084,          0.00016084,          0.00016084
                  23,            0.018035,            0.033063,           0.0034937,             0.92283,             0.92068,             0.95947,             0.80409,            0.017628,            0.018165,            0.001316,          0.00012088,          0.00012088,          0.00012088
                  24,            0.017487,            0.031862,           0.0033024,              0.9405,             0.91253,             0.96158,             0.81018,            0.017319,            0.018013,            0.001262,           8.092e-05,           8.092e-05,           8.092e-05
