               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.043791,            0.059389,            0.068554,             0.07626,             0.35884,            0.064283,            0.037814,            0.035001,            0.035813,            0.066049,            0.066887,           0.0001664,           0.0001664
                   1,            0.031642,             0.05335,            0.065022,             0.24966,             0.35423,             0.14271,            0.087142,            0.029349,            0.028321,            0.060034,            0.033712,          0.00032474,          0.00032474
                   2,            0.029753,            0.051637,            0.055706,             0.42715,             0.39314,             0.35511,             0.22062,            0.027528,            0.025189,            0.045894,          0.00052852,          0.00047476,          0.00047476
                   3,            0.028893,            0.050205,            0.040573,              0.4954,             0.57413,             0.53026,             0.34202,            0.026169,            0.024526,            0.032853,          0.00046252,          0.00046252,          0.00046252
                   4,            0.027554,              0.0486,            0.030548,             0.60415,             0.69114,             0.65926,             0.44407,            0.025188,            0.023837,            0.024561,          0.00046252,          0.00046252,          0.00046252
                   5,            0.027105,             0.04821,            0.024036,             0.69112,             0.72642,             0.74851,               0.505,            0.025069,            0.023662,            0.018444,          0.00045003,          0.00045003,          0.00045003
                   6,            0.026528,            0.047594,            0.019993,              0.7241,             0.72478,             0.76867,             0.51507,            0.024707,            0.023719,            0.015732,          0.00043753,          0.00043753,          0.00043753
                   7,            0.025729,            0.046171,            0.017146,             0.78391,             0.77299,             0.82903,             0.56252,            0.024226,             0.02336,           0.0097911,          0.00042504,          0.00042504,          0.00042504
                   8,            0.025167,            0.046432,            0.015273,              0.8016,             0.78882,             0.83245,             0.57846,            0.023569,            0.022904,           0.0093182,          0.00041254,          0.00041254,          0.00041254
                   9,             0.02484,             0.04549,            0.013723,             0.82117,             0.79391,             0.85076,             0.60174,            0.022914,            0.022297,           0.0089246,          0.00040005,          0.00040005,          0.00040005
                  10,            0.024315,            0.045321,            0.012864,             0.80416,              0.8049,             0.85562,             0.60738,            0.022858,            0.022788,           0.0071505,          0.00038756,          0.00038756,          0.00038756
                  11,            0.024146,            0.044745,            0.012005,             0.81721,              0.8164,             0.86102,              0.6164,            0.022566,            0.022077,           0.0069442,          0.00037506,          0.00037506,          0.00037506
                  12,            0.023707,            0.044197,            0.011234,             0.83008,             0.82477,              0.8779,             0.63456,            0.021602,            0.021737,           0.0058424,          0.00036257,          0.00036257,          0.00036257
                  13,            0.023395,            0.043783,            0.010605,             0.83148,             0.83327,             0.88057,             0.64672,            0.021206,            0.021137,           0.0051954,          0.00035007,          0.00035007,          0.00035007
                  14,            0.022891,            0.042936,           0.0099938,             0.84349,             0.82185,             0.87762,             0.64488,            0.021141,             0.02116,            0.005719,          0.00033758,          0.00033758,          0.00033758
                  15,            0.022661,            0.042775,           0.0097586,             0.84365,              0.8271,             0.88361,             0.65241,            0.020984,             0.02116,           0.0052763,          0.00032509,          0.00032509,          0.00032509
                  16,            0.022455,            0.042729,           0.0092126,              0.8414,             0.83852,             0.88733,              0.6613,            0.020836,            0.020858,           0.0053051,          0.00031259,          0.00031259,          0.00031259
                  17,            0.022238,            0.042284,           0.0087627,             0.85161,             0.83509,             0.89275,             0.66346,            0.020598,            0.020863,           0.0042731,           0.0003001,           0.0003001,           0.0003001
                  18,            0.022031,            0.041858,           0.0082943,             0.86476,             0.83814,             0.89481,             0.66939,            0.020772,            0.020852,           0.0040025,          0.00028761,          0.00028761,          0.00028761
                  19,            0.021662,            0.041354,           0.0082891,             0.86282,             0.84973,             0.90493,             0.67984,            0.019996,            0.020017,           0.0038357,          0.00027511,          0.00027511,          0.00027511
                  20,            0.021683,            0.041265,           0.0083193,             0.87106,             0.84029,             0.90521,              0.6826,             0.01978,            0.019908,           0.0041997,          0.00026262,          0.00026262,          0.00026262
                  21,            0.021331,            0.040766,           0.0078677,             0.87582,             0.84787,             0.91279,             0.69399,            0.019492,            0.019853,           0.0031147,          0.00025012,          0.00025012,          0.00025012
                  22,            0.021186,            0.040475,            0.007447,             0.87702,              0.8525,             0.91481,             0.69611,            0.019393,            0.019568,           0.0030705,          0.00023763,          0.00023763,          0.00023763
                  23,            0.020945,             0.04037,           0.0072404,             0.87212,             0.85501,             0.91388,             0.69515,             0.01952,            0.019847,           0.0031448,          0.00022514,          0.00022514,          0.00022514
                  24,            0.020661,            0.039921,           0.0070921,             0.87511,             0.85835,             0.91708,             0.70227,            0.019233,            0.019518,           0.0030414,          0.00021264,          0.00021264,          0.00021264
                  25,             0.02051,            0.039619,           0.0071067,             0.88579,             0.85434,             0.91948,             0.70661,            0.019107,            0.019367,           0.0028935,          0.00020015,          0.00020015,          0.00020015
                  26,            0.020355,            0.039251,           0.0066763,             0.88159,             0.86976,             0.92289,             0.71032,            0.018808,            0.019241,           0.0026499,          0.00018766,          0.00018766,          0.00018766
                  27,            0.020234,            0.038886,           0.0065293,             0.89395,             0.85966,             0.92631,             0.71621,            0.018753,            0.018985,           0.0027217,          0.00017516,          0.00017516,          0.00017516
                  28,            0.019965,            0.039079,           0.0062405,             0.88269,             0.86653,             0.92479,             0.71726,            0.018587,            0.019019,           0.0027637,          0.00016267,          0.00016267,          0.00016267
                  29,            0.019833,            0.038436,           0.0061489,             0.90539,             0.85207,             0.92675,             0.72076,            0.018411,            0.018796,           0.0025729,          0.00015018,          0.00015018,          0.00015018
                  30,            0.019709,            0.038361,           0.0057976,             0.89439,              0.8747,             0.93265,              0.7284,            0.018276,            0.018521,           0.0023236,          0.00013768,          0.00013768,          0.00013768
                  31,            0.019392,            0.037811,           0.0056912,             0.89785,             0.87317,              0.9321,             0.72905,            0.018179,            0.018616,            0.002272,          0.00012519,          0.00012519,          0.00012519
                  32,            0.019163,            0.037388,           0.0055828,             0.89839,             0.87356,             0.93227,             0.73043,            0.018058,            0.018541,           0.0024191,          0.00011269,          0.00011269,          0.00011269
                  33,            0.019109,            0.037448,           0.0054377,             0.89884,             0.87427,             0.93384,             0.73407,            0.017912,            0.018427,           0.0022232,           0.0001002,           0.0001002,           0.0001002
                  34,            0.018843,            0.037458,           0.0053848,             0.90297,             0.87452,             0.93543,             0.73411,            0.017821,            0.018335,           0.0021798,          8.7706e-05,          8.7706e-05,          8.7706e-05
                  35,            0.018763,            0.036962,           0.0050193,             0.89827,             0.88254,             0.93693,             0.74082,            0.017669,            0.018092,           0.0021169,          7.5213e-05,          7.5213e-05,          7.5213e-05
                  36,            0.018552,            0.036926,           0.0050354,             0.90166,             0.88222,             0.93801,             0.74086,            0.017549,            0.017995,           0.0021056,          6.2719e-05,          6.2719e-05,          6.2719e-05
