               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.048073,            0.060365,            0.069379,            0.063324,             0.27187,            0.053663,            0.029111,            0.042142,            0.031675,            0.067903,            0.066754,           3.328e-05,           3.328e-05
                   1,            0.035185,            0.055149,            0.067797,             0.13474,             0.44358,            0.072343,            0.047006,            0.031232,            0.027426,            0.066561,            0.033452,          6.4948e-05,          6.4948e-05
                   2,            0.031148,            0.053317,            0.066636,            0.088316,             0.42769,             0.09382,            0.062664,            0.027282,            0.025841,            0.065026,          0.00014871,          9.4949e-05,          9.4949e-05
                   3,            0.028935,            0.052073,            0.065334,              0.1171,              0.3687,             0.13694,            0.090894,            0.025885,            0.025367,            0.062955,          9.2501e-05,          9.2501e-05,          9.2501e-05
                   4,            0.027958,            0.050402,            0.062543,              0.2342,              0.3749,             0.19538,             0.12702,            0.025531,            0.024709,            0.058365,          9.2501e-05,          9.2501e-05,          9.2501e-05
                   5,            0.027662,            0.050095,            0.058473,             0.28073,             0.42573,              0.2282,             0.14902,            0.024731,            0.024105,            0.053921,          9.0001e-05,          9.0001e-05,          9.0001e-05
                   6,            0.027201,            0.049376,            0.054627,              0.3794,              0.3971,             0.30194,             0.20309,            0.024477,              0.0238,             0.04975,          8.7501e-05,          8.7501e-05,          8.7501e-05
                   7,            0.026945,            0.048159,            0.050396,             0.43493,             0.46128,              0.3853,             0.26167,            0.024431,            0.023674,            0.045245,          8.5002e-05,          8.5002e-05,          8.5002e-05
                   8,            0.026826,            0.048532,             0.04576,             0.41945,              0.5091,              0.4519,             0.30712,            0.024133,             0.02319,            0.040833,          8.2502e-05,          8.2502e-05,          8.2502e-05
                   9,            0.026875,            0.047576,            0.041639,             0.51697,             0.55198,             0.53697,              0.3612,            0.024284,            0.023144,            0.036057,          8.0002e-05,          8.0002e-05,          8.0002e-05
