               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.042381,            0.059008,             0.06808,             0.13426,             0.34907,             0.07596,            0.044792,            0.035862,            0.031077,            0.064676,            0.067053,           0.0003328,           0.0003328
                   1,            0.031512,            0.053559,             0.06184,             0.25206,             0.37576,             0.21976,             0.12046,            0.031211,            0.028996,              0.0549,            0.034027,          0.00063951,          0.00063951
                   2,            0.030454,            0.052248,            0.044743,             0.41884,             0.60489,             0.48021,             0.30084,            0.027913,            0.026247,            0.034383,          0.00097335,          0.00091959,          0.00091959
                   3,            0.029071,            0.051135,            0.031902,             0.53267,             0.60258,             0.55941,             0.35855,            0.027584,            0.026222,            0.030617,          0.00088012,          0.00088012,          0.00088012
                   4,            0.027904,            0.049791,            0.025003,             0.67841,             0.69022,             0.70826,             0.46093,            0.027052,            0.025101,            0.019085,          0.00088012,          0.00088012,          0.00088012
                   5,            0.027254,            0.049237,            0.020517,             0.69715,             0.69104,             0.72005,             0.48183,            0.025934,            0.024465,            0.020063,          0.00084016,          0.00084016,          0.00084016
                   6,            0.026635,             0.04871,            0.018121,             0.72316,             0.72305,             0.76187,             0.51459,             0.02533,            0.025082,            0.014319,           0.0008002,           0.0008002,           0.0008002
                   7,            0.025725,            0.047245,            0.016397,             0.75866,             0.77718,              0.8157,             0.55797,            0.024502,            0.023842,           0.0096552,          0.00076024,          0.00076024,          0.00076024
                   8,            0.025166,            0.047356,            0.014726,             0.77467,             0.79201,             0.82586,             0.57843,            0.023424,            0.023476,           0.0087476,          0.00072028,          0.00072028,          0.00072028
                   9,            0.024739,             0.04638,            0.013566,             0.80649,             0.76928,             0.83555,             0.58789,            0.023274,            0.022942,           0.0089433,          0.00068032,          0.00068032,          0.00068032
                  10,            0.024285,            0.046085,            0.012616,              0.7885,             0.77884,             0.83974,             0.59407,            0.022764,            0.023418,            0.007882,          0.00064036,          0.00064036,          0.00064036
                  11,            0.024015,             0.04546,            0.011907,              0.8283,             0.80479,             0.85495,             0.60502,             0.02317,            0.022293,           0.0062366,           0.0006004,           0.0006004,           0.0006004
                  12,            0.023513,            0.044722,            0.010931,             0.83021,             0.82634,             0.87564,             0.64112,            0.021394,            0.021608,           0.0052934,          0.00056044,          0.00056044,          0.00056044
                  13,             0.02308,             0.04416,            0.010378,             0.83231,             0.82119,             0.87916,             0.64142,            0.021274,              0.0215,            0.004869,          0.00052048,          0.00052048,          0.00052048
                  14,            0.022637,            0.043234,           0.0098506,             0.83979,             0.82228,             0.87594,               0.643,            0.021187,            0.021352,           0.0048764,          0.00048052,          0.00048052,          0.00048052
                  15,             0.02222,             0.04306,           0.0094447,             0.85676,             0.81708,             0.88286,             0.65435,             0.02075,            0.021059,           0.0053682,          0.00044056,          0.00044056,          0.00044056
                  16,            0.021936,            0.042619,           0.0086852,             0.85103,              0.8388,             0.89475,             0.66354,             0.02056,            0.020867,           0.0039189,           0.0004006,           0.0004006,           0.0004006
                  17,            0.021637,            0.042135,            0.008188,             0.86628,             0.83197,             0.89882,             0.67193,            0.020425,            0.020697,           0.0037877,          0.00036064,          0.00036064,          0.00036064
                  18,            0.021298,             0.04155,           0.0077941,              0.8703,             0.84248,             0.90174,             0.67332,            0.020282,            0.020573,           0.0036429,          0.00032068,          0.00032068,          0.00032068
                  19,            0.020816,            0.040708,           0.0074434,             0.87695,             0.83999,             0.90683,             0.68681,            0.019729,            0.020154,           0.0036035,          0.00028072,          0.00028072,          0.00028072
                  20,            0.020713,            0.040575,           0.0072186,             0.86259,             0.86763,             0.91391,              0.6953,            0.019299,            0.019718,           0.0030166,          0.00024076,          0.00024076,          0.00024076
                  21,            0.020197,            0.039819,           0.0067662,             0.88365,             0.85204,             0.91433,             0.70166,            0.019056,            0.019643,           0.0029228,           0.0002008,           0.0002008,           0.0002008
                  22,            0.019969,            0.039407,           0.0064069,             0.87169,             0.86381,             0.91864,             0.70627,            0.018942,            0.019399,           0.0028596,          0.00016084,          0.00016084,          0.00016084
                  23,             0.01965,            0.039184,           0.0060407,             0.88552,             0.86064,             0.92248,             0.71049,            0.018769,            0.019276,           0.0026127,          0.00012088,          0.00012088,          0.00012088
                  24,            0.019221,            0.038432,           0.0057636,             0.89038,             0.86543,             0.92513,             0.71895,            0.018416,             0.01904,           0.0024699,           8.092e-05,           8.092e-05,           8.092e-05
